"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 07:15:37 GMT 2023","Tue Feb 07 07:15:37 GMT 2023","90","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","or","or",""
"passed","Tue Feb 07 07:15:40 GMT 2023","Tue Feb 07 07:15:40 GMT 2023","36","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","textMatches","textMatches",""
"passed","Tue Feb 07 07:15:26 GMT 2023","Tue Feb 07 07:15:26 GMT 2023","65","Main suite","Selenium Web Driver Tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","waitForCertainAmountOfWindowsToBeOpened","waitForCertainAmountOfWindowsToBeOpened",""
"unknown","Tue Feb 07 07:15:04 GMT 2023","Tue Feb 07 07:15:04 GMT 2023","0","Main suite","Selenium Web Driver Tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","maximizeWindow","maximizeWindow",""
"passed","Tue Feb 07 07:15:41 GMT 2023","Tue Feb 07 07:15:41 GMT 2023","41","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","textToBePresentInElement","textToBePresentInElement",""
"passed","Tue Feb 07 07:15:23 GMT 2023","Tue Feb 07 07:15:23 GMT 2023","427","Main suite","Selenium Web Driver Tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","setWindowSize","setWindowSize",""
"unknown","Tue Feb 07 07:15:04 GMT 2023","Tue Feb 07 07:15:04 GMT 2023","0","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","visibilityOfAllElementsArgs","visibilityOfAllElementsArgs",""
"passed","Tue Feb 07 07:15:08 GMT 2023","Tue Feb 07 07:15:08 GMT 2023","804","Main suite","Selenium Web Driver Tests","vznd.selenium.AlertsTest","vznd.selenium.AlertsTest","acceptAlert","acceptAlert",""
"passed","Tue Feb 07 07:15:36 GMT 2023","Tue Feb 07 07:15:36 GMT 2023","6","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","not","not",""
"passed","Tue Feb 07 07:15:24 GMT 2023","Tue Feb 07 07:15:24 GMT 2023","6","Main suite","Selenium Web Driver Tests","vznd.selenium.CookiesTest","vznd.selenium.CookiesTest","getAllCookies","getAllCookies",""
"passed","Tue Feb 07 07:15:11 GMT 2023","Tue Feb 07 07:15:11 GMT 2023","75","Main suite","Selenium Web Driver Tests","vznd.selenium.FramesTest","vznd.selenium.FramesTest","switchToFrameUsingIndex","switchToFrameUsingIndex",""
"passed","Tue Feb 07 07:15:14 GMT 2023","Tue Feb 07 07:15:14 GMT 2023","108","Main suite","Selenium Web Driver Tests","vznd.selenium.FramesTest","vznd.selenium.FramesTest","switchToFrameUsingWebElement","switchToFrameUsingWebElement",""
"passed","Tue Feb 07 07:15:28 GMT 2023","Tue Feb 07 07:15:28 GMT 2023","41","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","attributeContainsByElement","attributeContainsByElement",""
"unknown","Tue Feb 07 07:15:04 GMT 2023","Tue Feb 07 07:15:04 GMT 2023","0","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","javaScriptThrowsNoExceptions","javaScriptThrowsNoExceptions",""
"unknown","Tue Feb 07 07:15:04 GMT 2023","Tue Feb 07 07:15:04 GMT 2023","0","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","jsReturnsValue","jsReturnsValue",""
"passed","Tue Feb 07 07:15:31 GMT 2023","Tue Feb 07 07:15:31 GMT 2023","59","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","elementToBeClickableByElement","elementToBeClickableByElement",""
"passed","Tue Feb 07 07:15:25 GMT 2023","Tue Feb 07 07:15:25 GMT 2023","14","Main suite","Selenium Web Driver Tests","vznd.selenium.CookiesTest","vznd.selenium.CookiesTest","getCookieByName","getCookieByName",""
"passed","Tue Feb 07 07:15:18 GMT 2023","Tue Feb 07 07:15:18 GMT 2023","6","Main suite","Selenium Web Driver Tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","getWindowHandle","getWindowHandle",""
"passed","Tue Feb 07 07:15:30 GMT 2023","Tue Feb 07 07:15:30 GMT 2023","33","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","elementSelectionStateToBeByElement","elementSelectionStateToBeByElement",""
"passed","Tue Feb 07 07:15:21 GMT 2023","Tue Feb 07 07:15:22 GMT 2023","358","Main suite","Selenium Web Driver Tests","vznd.selenium.ElementsFindersTest","vznd.selenium.ElementsFindersTest","switchToActiveElement","switchToActiveElement",""
"passed","Tue Feb 07 07:15:23 GMT 2023","Tue Feb 07 07:15:23 GMT 2023","14","Main suite","Selenium Web Driver Tests","vznd.selenium.CookiesTest","vznd.selenium.CookiesTest","deleteCookieByName","deleteCookieByName",""
"passed","Tue Feb 07 07:15:29 GMT 2023","Tue Feb 07 07:15:29 GMT 2023","39","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","attributeToBeByLocator","attributeToBeByLocator",""
"passed","Tue Feb 07 07:15:11 GMT 2023","Tue Feb 07 07:15:11 GMT 2023","331","Main suite","Selenium Web Driver Tests","vznd.selenium.KeyboardActionsTest","vznd.selenium.KeyboardActionsTest","enterWithSendKeys","enterWithSendKeys",""
"unknown","Tue Feb 07 07:15:04 GMT 2023","Tue Feb 07 07:15:04 GMT 2023","6","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","statelessOf","statelessOf",""
