"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 06 19:30:03 GMT 2023","Mon Feb 06 19:30:03 GMT 2023","77","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","takeScreenshotOfAWindow","takeScreenshotOfAWindow",""
"passed","Mon Feb 06 19:30:35 GMT 2023","Mon Feb 06 19:30:35 GMT 2023","33","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","attributeToBeNotEmpty","attributeToBeNotEmpty",""
"passed","Mon Feb 06 19:30:19 GMT 2023","Mon Feb 06 19:30:19 GMT 2023","14","Wiki Tests","Selenium tests","vznd.selenium.CookiesTest","vznd.selenium.CookiesTest","addCookie","addCookie",""
"passed","Mon Feb 06 19:30:13 GMT 2023","Mon Feb 06 19:30:13 GMT 2023","18","Wiki Tests","Selenium tests","vznd.selenium.ElementsInformationTest","vznd.selenium.ElementsInformationTest","getTagName","getTagName",""
"passed","Mon Feb 06 19:30:32 GMT 2023","Mon Feb 06 19:30:33 GMT 2023","68","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","and","and",""
"passed","Mon Feb 06 19:31:25 GMT 2023","Mon Feb 06 19:31:25 GMT 2023","16","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","presenceOfAllElementsLocatedBy","presenceOfAllElementsLocatedBy",""
"broken","Mon Feb 06 19:29:52 GMT 2023","Mon Feb 06 19:29:52 GMT 2023","70","Wiki Tests","Selenium tests","vznd.selenium.FramesTest","vznd.selenium.FramesTest","switchToFrameUsingId","switchToFrameUsingId",""
"passed","Mon Feb 06 19:30:14 GMT 2023","Mon Feb 06 19:30:14 GMT 2023","38","Wiki Tests","Selenium tests","vznd.selenium.ElementsInformationTest","vznd.selenium.ElementsInformationTest","isDisplayed","isDisplayed",""
"passed","Mon Feb 06 19:30:11 GMT 2023","Mon Feb 06 19:30:11 GMT 2023","21","Wiki Tests","Selenium tests","vznd.selenium.ElementsTraditionalLocatorsTest","vznd.selenium.ElementsTraditionalLocatorsTest","partialLinkText","partialLinkText",""
"unknown","Mon Feb 06 19:29:06 GMT 2023","Mon Feb 06 19:29:06 GMT 2023","0","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","visibilityOfAllElementsList","visibilityOfAllElementsList",""
"passed","Mon Feb 06 19:31:26 GMT 2023","Mon Feb 06 19:31:26 GMT 2023","34","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","presenceOfNestedElementsLocatedBy","presenceOfNestedElementsLocatedBy",""
"unknown","Mon Feb 06 19:29:06 GMT 2023","Mon Feb 06 19:29:06 GMT 2023","0","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","maximizeWindow","maximizeWindow",""
