"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Tue Feb 07 07:20:18 GMT 2023","Tue Feb 07 07:20:18 GMT 2023","0","Main suite","Selenium Web Driver Tests","vznd.selenium.CssSelectorsTest","vznd.selenium.CssSelectorsTest","selectAllElementsWithTagThatAreNextToAnotherTag","selectAllElementsWithTagThatAreNextToAnotherTag","COMING SOON"
"passed","Tue Feb 07 07:20:43 GMT 2023","Tue Feb 07 07:20:43 GMT 2023","68","Main suite","Selenium Web Driver Tests","vznd.selenium.ElementsSelectListsTest","vznd.selenium.ElementsSelectListsTest","getAllSelectedOptions","getAllSelectedOptions",""
"passed","Tue Feb 07 07:20:56 GMT 2023","Tue Feb 07 07:20:56 GMT 2023","39","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","textToBePresentInElementValueByLocator","textToBePresentInElementValueByLocator",""
"passed","Tue Feb 07 07:20:39 GMT 2023","Tue Feb 07 07:20:39 GMT 2023","88","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","attributeToBeByElement","attributeToBeByElement",""
"passed","Tue Feb 07 07:20:59 GMT 2023","Tue Feb 07 07:20:59 GMT 2023","40","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","waitWithExpectedCondition","waitWithExpectedCondition",""
"passed","Tue Feb 07 07:20:43 GMT 2023","Tue Feb 07 07:20:43 GMT 2023","91","Main suite","Selenium Web Driver Tests","vznd.selenium.FramesTest","vznd.selenium.FramesTest","switchToFrameUsingWebElement","switchToFrameUsingWebElement",""
"passed","Tue Feb 07 07:20:48 GMT 2023","Tue Feb 07 07:20:48 GMT 2023","45","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","frameToBeAvailableAndSwitchToItByStringLocator","frameToBeAvailableAndSwitchToItByStringLocator",""
"unknown","Tue Feb 07 07:20:18 GMT 2023","Tue Feb 07 07:20:18 GMT 2023","0","Main suite","Selenium Web Driver Tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","enterFullscreen","enterFullscreen",""
"passed","Tue Feb 07 07:20:32 GMT 2023","Tue Feb 07 07:20:32 GMT 2023","73","Main suite","Selenium Web Driver Tests","vznd.selenium.ElementsFindersTest","vznd.selenium.ElementsFindersTest","findElementBasedOnParentObject","findElementBasedOnParentObject",""
"passed","Tue Feb 07 07:20:33 GMT 2023","Tue Feb 07 07:20:33 GMT 2023","113","Main suite","Selenium Web Driver Tests","vznd.selenium.ElementsFindersTest","vznd.selenium.ElementsFindersTest","findFirstElementWithClass","findFirstElementWithClass",""
