"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 06:53:04 GMT 2023","Tue Feb 07 06:53:04 GMT 2023","29","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","attributeContainsByLocator","attributeContainsByLocator",""
"passed","Tue Feb 07 06:53:17 GMT 2023","Tue Feb 07 06:53:17 GMT 2023","32","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","textToBePresentInElementValueByLocator","textToBePresentInElementValueByLocator",""
"broken","Tue Feb 07 06:53:10 GMT 2023","Tue Feb 07 06:53:10 GMT 2023","48","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","frameToBeAvailableAndSwitchToItByStringLocator","frameToBeAvailableAndSwitchToItByStringLocator",""
"passed","Tue Feb 07 06:53:15 GMT 2023","Tue Feb 07 06:53:15 GMT 2023","34","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","textToBe","textToBe",""
"passed","Tue Feb 07 06:53:14 GMT 2023","Tue Feb 07 06:53:14 GMT 2023","26","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","presenceOfNestedElementsLocatedBy","presenceOfNestedElementsLocatedBy",""
"passed","Tue Feb 07 06:53:01 GMT 2023","Tue Feb 07 06:53:01 GMT 2023","107","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","takeScreenshotOfAWindow","takeScreenshotOfAWindow",""
"passed","Tue Feb 07 06:53:01 GMT 2023","Tue Feb 07 06:53:01 GMT 2023","11","Wiki Tests","Selenium tests","vznd.selenium.CookiesTest","vznd.selenium.CookiesTest","getCookieByName","getCookieByName",""
"passed","Tue Feb 07 06:52:54 GMT 2023","Tue Feb 07 06:52:54 GMT 2023","57","Wiki Tests","Selenium tests","vznd.selenium.ElementsTraditionalLocatorsTest","vznd.selenium.ElementsTraditionalLocatorsTest","cssSelector","cssSelector",""
"passed","Tue Feb 07 06:52:49 GMT 2023","Tue Feb 07 06:52:49 GMT 2023","43","Wiki Tests","Selenium tests","vznd.selenium.GettingBrowserInformationTest","vznd.selenium.GettingBrowserInformationTest","getCurrentUrl","getCurrentUrl",""
"passed","Tue Feb 07 06:53:07 GMT 2023","Tue Feb 07 06:53:07 GMT 2023","37","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","elementToBeClickableByElement","elementToBeClickableByElement",""
"passed","Tue Feb 07 06:52:54 GMT 2023","Tue Feb 07 06:52:55 GMT 2023","235","Wiki Tests","Selenium tests","vznd.selenium.ElementsInteractionsTest","vznd.selenium.ElementsInteractionsTest","clear","clear",""
"passed","Tue Feb 07 06:52:48 GMT 2023","Tue Feb 07 06:52:48 GMT 2023","236","Wiki Tests","Selenium tests","vznd.selenium.BrowserNavigationTest","vznd.selenium.BrowserNavigationTest","openUrl","openUrl",""
"passed","Tue Feb 07 06:53:12 GMT 2023","Tue Feb 07 06:53:12 GMT 2023","5","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","not","not",""
