"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 06 20:00:32 GMT 2023","Mon Feb 06 20:00:42 GMT 2023","10217","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","invisibilityOfAllElementsList","invisibilityOfAllElementsList",""
"passed","Mon Feb 06 20:00:01 GMT 2023","Mon Feb 06 20:00:01 GMT 2023","9","Wiki Tests","Selenium tests","vznd.selenium.GettingBrowserInformationTest","vznd.selenium.GettingBrowserInformationTest","getCurrentUrl","getCurrentUrl",""
"failed","Mon Feb 06 19:59:58 GMT 2023","Mon Feb 06 19:59:59 GMT 2023","790","Wiki Tests","Selenium tests","vznd.selenium.AlertsTest","vznd.selenium.AlertsTest","acceptAlert","acceptAlert",""
"unknown","Mon Feb 06 19:59:56 GMT 2023","Mon Feb 06 19:59:56 GMT 2023","0","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","visibilityOfNestedElementsLocatedByElement","visibilityOfNestedElementsLocatedByElement",""
"unknown","Mon Feb 06 19:59:56 GMT 2023","Mon Feb 06 19:59:56 GMT 2023","3","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","visibilityOfAllElementsLocatedBy","visibilityOfAllElementsLocatedBy",""
"passed","Mon Feb 06 20:00:10 GMT 2023","Mon Feb 06 20:00:10 GMT 2023","119","Wiki Tests","Selenium tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","setWindowSize","setWindowSize",""
"passed","Mon Feb 06 20:00:08 GMT 2023","Mon Feb 06 20:00:08 GMT 2023","26","Wiki Tests","Selenium tests","vznd.selenium.ElementsTraditionalLocatorsTest","vznd.selenium.ElementsTraditionalLocatorsTest","name","name",""
"passed","Mon Feb 06 20:01:04 GMT 2023","Mon Feb 06 20:01:04 GMT 2023","52","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","numberOfWindowsToBe","numberOfWindowsToBe",""
"passed","Mon Feb 06 20:01:13 GMT 2023","Mon Feb 06 20:01:13 GMT 2023","12","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","waitWithLambda","waitWithLambda",""
"passed","Mon Feb 06 20:01:12 GMT 2023","Mon Feb 06 20:01:12 GMT 2023","30","Wiki Tests","Selenium tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","visibilityOf","visibilityOf",""
