"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 07:18:56 GMT 2023","Tue Feb 07 07:18:56 GMT 2023","18","Main suite","Selenium Web Driver Tests","vznd.selenium.ElementsInformationTest","vznd.selenium.ElementsInformationTest","getTagName","getTagName",""
"passed","Tue Feb 07 07:18:58 GMT 2023","Tue Feb 07 07:18:58 GMT 2023","101","Main suite","Selenium Web Driver Tests","vznd.selenium.ElementsInformationTest","vznd.selenium.ElementsInformationTest","isDisplayed","isDisplayed",""
"passed","Tue Feb 07 07:19:05 GMT 2023","Tue Feb 07 07:19:05 GMT 2023","32","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","attributeContainsByElement","attributeContainsByElement",""
"unknown","Tue Feb 07 07:18:47 GMT 2023","Tue Feb 07 07:18:47 GMT 2023","0","Main suite","Selenium Web Driver Tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","getWindowDimensionsFromObject","getWindowDimensionsFromObject",""
"passed","Tue Feb 07 07:18:54 GMT 2023","Tue Feb 07 07:18:54 GMT 2023","139","Main suite","Selenium Web Driver Tests","vznd.selenium.FramesTest","vznd.selenium.FramesTest","switchToFrameUsingWebElement","switchToFrameUsingWebElement",""
"passed","Tue Feb 07 07:18:55 GMT 2023","Tue Feb 07 07:18:56 GMT 2023","300","Main suite","Selenium Web Driver Tests","vznd.selenium.AlertsTest","vznd.selenium.AlertsTest","waitForAlertAbsence","waitForAlertAbsence",""
"passed","Tue Feb 07 07:19:20 GMT 2023","Tue Feb 07 07:19:20 GMT 2023","6","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","urlToBe","urlToBe",""
"passed","Tue Feb 07 07:19:00 GMT 2023","Tue Feb 07 07:19:01 GMT 2023","222","Main suite","Selenium Web Driver Tests","vznd.selenium.ElementsFindersTest","vznd.selenium.ElementsFindersTest","switchToActiveElement","switchToActiveElement",""
"unknown","Tue Feb 07 07:18:47 GMT 2023","Tue Feb 07 07:18:47 GMT 2023","0","Main suite","Selenium Web Driver Tests","vznd.selenium.WindowsTest","vznd.selenium.WindowsTest","enterFullscreen","enterFullscreen",""
"passed","Tue Feb 07 07:19:07 GMT 2023","Tue Feb 07 07:19:07 GMT 2023","26","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","elementSelectionStateToBeByElement","elementSelectionStateToBeByElement",""
"passed","Tue Feb 07 07:19:13 GMT 2023","Tue Feb 07 07:19:13 GMT 2023","6","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","not","not",""
"passed","Tue Feb 07 07:19:14 GMT 2023","Tue Feb 07 07:19:14 GMT 2023","14","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","presenceOfAllElementsLocatedBy","presenceOfAllElementsLocatedBy",""
"passed","Tue Feb 07 07:18:57 GMT 2023","Tue Feb 07 07:18:58 GMT 2023","135","Main suite","Selenium Web Driver Tests","vznd.selenium.ElementsFindersTest","vznd.selenium.ElementsFindersTest","findElementBasedOnParentLocator","findElementBasedOnParentLocator",""
"passed","Tue Feb 07 07:18:57 GMT 2023","Tue Feb 07 07:18:57 GMT 2023","80","Main suite","Selenium Web Driver Tests","vznd.selenium.ElementsFindersTest","vznd.selenium.ElementsFindersTest","findAllElementsByTag","findAllElementsByTag",""
"passed","Tue Feb 07 07:18:50 GMT 2023","Tue Feb 07 07:18:50 GMT 2023","96","Main suite","Selenium Web Driver Tests","vznd.selenium.FramesTest","vznd.selenium.FramesTest","switchToDefaultContext","switchToDefaultContext",""
"passed","Tue Feb 07 07:19:06 GMT 2023","Tue Feb 07 07:19:06 GMT 2023","33","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","attributeToBeByLocator","attributeToBeByLocator",""
"passed","Tue Feb 07 07:19:12 GMT 2023","Tue Feb 07 07:19:12 GMT 2023","36","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","invisibilityOfElementLocatedByLocator","invisibilityOfElementLocatedByLocator",""
"passed","Tue Feb 07 07:19:05 GMT 2023","Tue Feb 07 07:19:05 GMT 2023","58","Main suite","Selenium Web Driver Tests","vznd.selenium.ExplicitWaitTest","vznd.selenium.ExplicitWaitTest","and","and",""
